dataset,transformation,property,before,after,change,delta
tgbl_enron,Bridge Width,bridge width,57.22727272727273,63.13636363636363,5.9090909090909065,0.1
tgbl_enron,Bridge Width,centralization,0.1637749090391164,0.15600600795017544,-0.00776890108894096,0.1
tgbl_enron,Bridge Width,density,0.029940157881334348,0.029940157881334348,0.0,0.1
tgbl_enron,Bridge Width,clustering,0.22575264375191637,0.20859940632785487,-0.017153237424061496,0.1
tgbl_enron,Centralization,bridge width,57.22727272727273,57.22727272727273,0.0,0.1
tgbl_enron,Centralization,centralization,0.1637749090391164,0.33663295826805295,0.17285804922893655,0.1
tgbl_enron,Centralization,density,0.029940157881334348,0.029940157881334348,0.0,0.1
tgbl_enron,Centralization,clustering,0.22575264375191637,0.24415701074770088,0.018404366995784516,0.1
tgbl_enron,Density,bridge width,57.22727272727273,57.22727272727273,0.0,0.1
tgbl_enron,Density,centralization,0.1637749090391164,0.16422162085173053,0.0004467118126141312,0.1
tgbl_enron,Density,density,0.029940157881334348,0.03293862999745352,0.002998472116119172,0.1
tgbl_enron,Density,clustering,0.22575264375191637,0.2023338984546691,-0.023418745297247273,0.1
tgbl_enron,Bridge Trend,bridge width,57.22727272727273,28.181818181818183,-29.045454545454543,0.1
tgbl_enron,Bridge Trend,centralization,0.1637749090391164,0.128426409084435,-0.035348499954681395,0.1
tgbl_enron,Bridge Trend,density,0.029940157881334348,0.029940157881334348,0.0,0.1
tgbl_enron,Bridge Trend,clustering,0.22575264375191637,0.17447735089847569,-0.05127529285344068,0.1
tgbl_enron,Churn,bridge width,57.22727272727273,57.22727272727273,0.0,0.1
tgbl_enron,Churn,centralization,0.1637749090391164,0.1637749090391164,0.0,0.1
tgbl_enron,Churn,density,0.029940157881334348,0.029940157881334348,0.0,0.1
tgbl_enron,Churn,clustering,0.22575264375191637,0.22557438771134633,-0.00017825604057003508,0.1
