dataset,transformation,property,before,after,change,delta
email_eu_core,Bridge Width,bridge width,83.3125,91.6875,8.375,0.1
email_eu_core,Bridge Width,centralization,0.0542964824120603,0.052086997487437184,-0.002209484924623119,0.1
email_eu_core,Bridge Width,density,0.008118781094527364,0.008118781094527364,0.0,0.1
email_eu_core,Bridge Width,clustering,0.10680731359961466,0.09056094504570486,-0.016246368553909804,0.1
email_eu_core,Centralization,bridge width,83.3125,83.3125,0.0,0.1
email_eu_core,Centralization,centralization,0.0542964824120603,0.13667870603015075,0.08238222361809044,0.1
email_eu_core,Centralization,density,0.008118781094527364,0.008118781094527364,0.0,0.1
email_eu_core,Centralization,clustering,0.10680731359961466,0.09570418520698043,-0.011103128392634234,0.1
email_eu_core,Density,bridge width,83.3125,83.3125,0.0,0.1
email_eu_core,Density,centralization,0.0542964824120603,0.05600188442211056,0.001705402010050254,0.1
email_eu_core,Density,density,0.008118781094527364,0.008930348258706467,0.0008115671641791035,0.1
email_eu_core,Density,clustering,0.10680731359961466,0.09969305110190754,-0.007114262497707122,0.1
email_eu_core,Bridge Trend,bridge width,83.3125,43.9375,-39.375,0.1
email_eu_core,Bridge Trend,centralization,0.0542964824120603,0.04230213567839196,-0.011994346733668344,0.1
email_eu_core,Bridge Trend,density,0.008118781094527364,0.008118781094527364,0.0,0.1
email_eu_core,Bridge Trend,clustering,0.10680731359961466,0.06195385262303958,-0.04485346097657508,0.1
email_eu_core,Churn,bridge width,83.3125,83.3125,0.0,0.1
email_eu_core,Churn,centralization,0.0542964824120603,0.0542964824120603,0.0,0.1
email_eu_core,Churn,density,0.008118781094527364,0.008118781094527364,0.0,0.1
email_eu_core,Churn,clustering,0.10680731359961466,0.10541164942409975,-0.001395664175514913,0.1
