dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Centralization,decrease,-0.1,relative,42,True,,296,296,True,0,ok,True,-0.24590163934426199,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Density,increase,0.1,relative,42,True,,296,324,False,0,ok,True,0.0945945945945946,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Density,decrease,-0.1,relative,42,True,,296,268,False,0,ok,True,-0.0945945945945946,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",296,296,True,0,saturated,False,0.6219780219780224,-1.9142857142857157,-1.2923076923076933,0.6219780219780224,1.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient removable intra-community edges to preserve total edge count,296,299,False,2,edge_count_infeasible,False,,,,,,,
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Churn,increase,0.1,relative,42,True,,296,296,True,0,ok,True,0.0,-1.9142857142857157,-1.9142857142857157,0.0,0.0,requested,True
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Churn,decrease,-0.1,relative,42,True,,296,296,True,0,ok,True,0.0,-1.9142857142857157,-1.9142857142857157,0.0,0.0,requested,True
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Width,increase,0.25,relative,42,False,insufficient removable intra-community edges to preserve total edge count,296,297,False,1,edge_count_infeasible,False,,,,,,,
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,296,296,True,0,ok,True,-0.23140495867768587,-1.9142857142857157,-1.4175824175824188,0.49670329670329694,2.146467817896391,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Centralization,increase,0.25,relative,42,True,,296,296,True,0,ok,True,0.9067622950819678,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Centralization,decrease,-0.25,relative,42,True,,296,296,True,0,ok,True,-0.41495901639344246,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Density,increase,0.25,relative,42,True,,296,370,False,0,ok,True,0.24999999999999994,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Density,decrease,-0.25,relative,42,True,,296,224,False,0,ok,True,-0.24324324324324323,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Trend,increase,0.25,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",296,296,True,0,saturated,False,1.101098901098902,-1.9142857142857157,-0.8131868131868137,1.101098901098902,1.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Trend,decrease,-0.25,absolute,42,False,insufficient intra-community edges to preserve total edge count,296,604,False,12,edge_count_infeasible,False,,,,,,,
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Churn,increase,0.25,relative,42,True,,296,296,True,0,ok,True,0.0,-1.9142857142857157,-1.9142857142857157,0.0,0.0,requested,True
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Churn,decrease,-0.25,relative,42,True,,296,296,True,0,ok,True,0.0,-1.9142857142857157,-1.9142857142857157,0.0,0.0,requested,True
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Width,increase,0.5,relative,42,False,insufficient removable intra-community edges to preserve total edge count,296,301,False,4,edge_count_infeasible,False,,,,,,,
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Width,decrease,-0.5,relative,42,True,,296,296,True,0,ok,True,-0.4876033057851239,-1.9142857142857157,-0.9054945054945063,1.0087912087912094,2.06887688582604,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Centralization,increase,0.5,relative,42,True,,296,296,True,0,ok,True,1.1987704918032789,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Centralization,decrease,-0.5,relative,42,True,,296,296,True,0,ok,True,-0.6147540983606556,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Density,increase,0.5,relative,42,True,,296,444,False,0,ok,True,0.5000000000000001,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Density,decrease,-0.5,relative,42,True,,296,178,False,0,ok,True,-0.3986486486486487,-1.9142857142857157,-1.9142857142857157,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Trend,increase,0.5,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",296,296,True,0,saturated,False,1.4131868131868144,-1.9142857142857157,-0.5010989010989012,1.4131868131868144,1.0,achieved,False
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Bridge Trend,decrease,-0.5,absolute,42,False,insufficient cross-community non-edges to widen the bridge,296,14594,False,13,edge_count_infeasible,False,,,,,,,
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Churn,increase,0.5,relative,42,True,,296,296,True,0,ok,True,0.0,-1.9142857142857157,-1.9142857142857157,0.0,0.0,requested,True
bitcoin_otc,temporal_evaluation,14,slope_bridge_width,Churn,decrease,-0.5,relative,42,True,,296,296,True,0,ok,True,0.0,-1.9142857142857157,-1.9142857142857157,0.0,0.0,requested,True
bitcoin_otc,temporal_evaluation,14,persistence_density,Bridge Width,increase,0.1,relative,42,True,,296,296,True,0,ok,True,0.09917355371900832,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Bridge Width,decrease,-0.1,relative,42,True,,296,296,True,0,ok,True,-0.09917355371900823,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Centralization,increase,0.1,relative,42,True,,296,296,True,0,ok,True,0.430327868852459,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Centralization,decrease,-0.1,relative,42,True,,296,296,True,0,ok,True,-0.24590163934426199,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Density,increase,0.1,relative,42,True,,296,324,False,0,ok,True,0.0945945945945946,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Density,decrease,-0.1,relative,42,True,,296,268,False,0,ok,True,-0.0945945945945946,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",296,296,True,0,saturated,False,0.6219780219780224,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient removable intra-community edges to preserve total edge count,296,299,False,2,edge_count_infeasible,False,,,,,,,
bitcoin_otc,temporal_evaluation,14,persistence_density,Churn,increase,0.1,relative,42,True,,296,296,True,0,ok,True,0.0,0.00014005602240896358,0.00014005602240896358,0.0,0.0,requested,True
bitcoin_otc,temporal_evaluation,14,persistence_density,Churn,decrease,-0.1,relative,42,True,,296,296,True,0,ok,True,0.0,0.00014005602240896358,0.00014005602240896358,0.0,0.0,requested,True
bitcoin_otc,temporal_evaluation,14,persistence_density,Bridge Width,increase,0.25,relative,42,False,insufficient removable intra-community edges to preserve total edge count,296,297,False,1,edge_count_infeasible,False,,,,,,,
bitcoin_otc,temporal_evaluation,14,persistence_density,Bridge Width,decrease,-0.25,relative,42,True,,296,296,True,0,ok,True,-0.23140495867768587,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Centralization,increase,0.25,relative,42,True,,296,296,True,0,ok,True,0.9067622950819678,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Centralization,decrease,-0.25,relative,42,True,,296,296,True,0,ok,True,-0.41495901639344246,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Density,increase,0.25,relative,42,True,,296,370,False,0,ok,True,0.24999999999999994,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Density,decrease,-0.25,relative,42,True,,296,224,False,0,ok,True,-0.24324324324324323,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Bridge Trend,increase,0.25,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",296,296,True,0,saturated,False,1.101098901098902,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False
bitcoin_otc,temporal_evaluation,14,persistence_density,Bridge Trend,decrease,-0.25,absolute,42,False,insufficient intra-community edges to preserve total edge count,296,604,False,12,edge_count_infeasible,False,,,,,,,
bitcoin_otc,temporal_evaluation,14,persistence_density,Churn,increase,0.25,relative,42,True,,296,296,True,0,ok,True,0.0,0.00014005602240896358,0.00014005602240896358,0.0,0.0,requested,True
